n1response_time;n1response_width;n1response_strength;cong_time;cong_width;cong_strength
0.176546;11.752570;0.031534;42.987086;8.679550;0.225000
9.968033;19.682926;0.050408;49.529241;10.396727;0.163944
4.262577;14.339556;0.059655;42.374635;9.328409;0.217814
9.968033;9.810209;0.015580;45.912741;9.722054;0.322847
-6.593940;18.162741;0.060864;42.018819;8.257901;0.201395
6.591991;17.193228;0.019355;38.990147;10.007226;0.120019
9.968033;12.088385;0.024771;39.599439;8.489399;0.205094
9.968033;19.682926;-0.013815;39.444308;8.815885;0.204980
9.968033;19.682926;-0.048116;37.052994;8.834070;0.222253
-0.861539;8.968033;0.037038;45.172616;9.854840;0.155838
